iFail,Err,nMin,nE04,nCall,P,V,T,RH,Volume(aq),n_H(aq),n_NH4(aq),n_Na(aq),n_HSO4(aq),n_SO4(aq),n_NO3(aq),n_Cl(aq),n_OH(aq),n_H2O(aq),n_NH3(aq),n_H2O(g),n_HNO3(g),n_HCl(g),n_NH3(g),n_H2SO4(g),moles_s01,vol_s01,id_s01,name_s01,moles_s02,vol_s02,id_s02,name_s02,moles_s03,vol_s03,id_s03,name_s03,moles_s04,vol_s04,id_s04,name_s04
1,2,1,2,65,1,1,298.15,0.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
2,2,1,2,132,1,1,298.15,0.11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
3,2,1,2,77,1,1,298.15,0.12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
4,2,1,2,49,1,1,298.15,0.13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
5,2,1,2,231,1,1,298.15,0.14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
6,2,1,2,302,1,1,298.15,0.15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.93E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
7,2,1,2,88,1,1,298.15,0.16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
8,2,1,2,262,1,1,298.15,0.17,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.18E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
9,2,1,2,58,1,1,298.15,0.18,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
10,2,1,2,70,1,1,298.15,0.19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.44E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.60E-09,1.84E-06,15,3NH4NO3.(NH4)2SO4,1.60E-08,5.63E-07,17,NH4Cl,1.04E-08,5.47E-07,18,Na2SO4,4.42E-08,1.66E-06,25,NaNO3
