iFail,Err,nMin,nE04,nCall,P,V,T,RH,Volume(aq),n_H(aq),n_NH4(aq),n_Na(aq),n_HSO4(aq),n_SO4(aq),n_NO3(aq),n_OH(aq),n_H2O(aq),n_NH3(aq),n_H2O(g),n_HNO3(g),n_HCl(g),n_NH3(g),n_H2SO4(g),moles_s01,vol_s01,id_s01,name_s01,moles_s02,vol_s02,id_s02,name_s02,moles_s03,vol_s03,id_s03,name_s03
1,2,1,2,294,1,1,298.15,0.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
2,2,1,2,242,1,1,298.15,0.11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.41E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
3,2,1,2,69,1,1,298.15,0.12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.54E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
4,2,1,2,126,1,1,298.15,0.13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.67E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
5,2,1,2,145,1,1,298.15,0.14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
6,2,2,2,189,1,1,298.15,0.15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.93E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
7,2,2,2,84,1,1,298.15,0.16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.05E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
8,2,2,2,154,1,1,298.15,0.17,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.18E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
9,2,1,2,23,1,1,298.15,0.18,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
10,2,1,2,23,1,1,298.15,0.19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.44E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
11,2,1,2,23,1,1,298.15,0.2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
12,2,1,2,23,1,1,298.15,0.21,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.70E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
13,2,1,2,289,1,1,298.15,0.22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.83E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
14,2,1,2,381,1,1,298.15,0.23,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.96E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
15,2,1,2,51,1,1,298.15,0.24,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.09E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E-08,3.06E-06,10,(NH4)2SO4,9.40E-08,1.58E-05,14,2NH4NO3.(NH4)2SO4,7.00E-09,3.68E-07,18,Na2SO4
