time,T(^oC),RH(%),CH4,CO(ppm),CO2(ppm),PM10(ug/m3),PM2.5(ug/m3),NMHC,NO(ppb),NO2(ppb),NOx(ppb),O3(ppb),SO2(ppb),THC,WIND_DIREC,WIND_SPEED
2021/2/4 00:00,16.8,80,2.29,0.55,438,116,53,0.31,3.5,33,36.5,7.9,2.7,2.6,,
2021/2/4 01:00,15.9,83,2.28,0.5,439,108,49,0.26,4.6,27,31.5,7.1,0.5,2.54,,
2021/2/4 02:00,15.5,85,2.36,0.46,446,94,46,0.21,3.8,21.5,25.4,8.9,0.5,2.57,,
2021/2/4 03:00,15.4,86,2.25,0.43,451,81,41,0.16,3.5,16.6,20.1,12.5,0.5,2.41,,
2021/2/4 04:00,15.3,86,2.26,0.42,458,76,39,0.17,3.7,16.2,19.9,12,0.5,2.43,,
2021/2/4 05:00,15.5,86,2.26,0.42,464,68,37,0.17,4.8,21.7,26.5,8.5,0.5,2.43,,
2021/2/4 06:00,15.9,85,2.25,0.59,471,78,37,0.22,19.3,31.4,50.7,3.7,1.3,2.47,,
2021/2/4 07:00,16.5,84,2.42,1.35,462,88,39,0.43,55.9,32.4,88.3,3,2.5,2.85,,
2021/2/4 08:00,18.2,80,2.33,0.97,454,98,50,0.35,40.8,38.6,79.4,9.9,2.6,2.68,,
2021/2/4 09:00,21,68,2.16,0.69,451,93,51,0.23,11.6,30.9,42.4,34.8,2.1,2.39,,
2021/2/4 10:00,23.4,57,2.03,0.5,444,75,39,0.15,6.1,19.5,25.6,59.7,2,2.18,,
2021/2/4 11:00,24.6,52,2.04,0.55,433,,48,0.19,4.6,19.2,23.7,,2.5,2.23,,
2021/2/4 12:00,24.6,54,,,424,81,,,,,,74.2,,,,
2021/2/4 13:00,24.1,57,1.98,,427,72,43,0.12,3.8,13.6,17.4,78.5,2.2,2.1,,
2021/2/4 14:00,24.2,55,1.97,0.42,423,65,40,0.11,3.7,12.3,15.9,79.3,2.3,2.08,,
2021/2/4 15:00,23.4,56,1.95,0.34,427,57,29,0.08,3.9,13.6,17.5,71,1.8,2.03,,
2021/2/4 16:00,22.8,57,1.95,0.4,428,64,33,0.13,3.5,17.7,21.3,70.7,2.7,2.08,,
2021/2/4 17:00,22.1,62,1.97,0.52,420,87,36,0.17,4.2,24.5,28.7,62.3,1.9,2.14,,
2021/2/4 18:00,20.8,70,2,0.55,417,94,21,0.14,3.5,27.3,30.7,54.3,1.6,2.14,,
2021/2/4 19:00,20.3,75,2,0.59,422,93,42,0.17,3.9,31.3,35.1,43.6,1.4,2.17,,
2021/2/4 20:00,20.2,74,2.18,0.72,424,98,47,0.37,4.2,48.4,52.6,20.3,1.5,2.55,,
2021/2/4 21:00,19.5,73,2.27,1.01,427,113,57,0.43,21.8,57.3,79.1,3.8,1.6,2.7,,
2021/2/4 22:00,19.1,74,2.27,0.98,431,105,50,0.45,30.5,54.1,84.6,1.9,1.9,2.72,,
2021/2/4 23:00,18.6,76,2.39,0.88,432,100,53,0.45,25.4,46.5,71.9,2.1,1.6,2.84,,
2021/2/5 00:00,17.9,79,2.52,0.77,425,98,53,0.4,11.6,41.3,52.8,2.5,1.1,2.92,,
2021/2/5 01:00,17.2,82,2.41,0.63,432,112,63,0.35,4.4,32.3,36.8,4.2,2.3,2.76,,
2021/2/5 02:00,16.3,84,2.38,0.49,437,93,49,0.26,4.1,28.3,32.4,3.7,2.5,2.64,,
2021/2/5 03:00,15.9,86,2.38,0.47,446,86,48,0.22,3.8,25,28.8,3.7,1.6,2.6,,
2021/2/5 04:00,16,86,2.31,0.47,453,77,43,0.26,3,23.8,26.8,3.9,1.5,2.57,,
2021/2/5 05:00,15.9,85,2.27,0.49,450,75,51,0.25,1.4,20.4,21.8,7,1.6,2.52,,
2021/2/5 06:00,15.9,86,2.39,0.6,451,80,46,0.28,19.7,26.5,46.2,2.8,2.3,2.67,,
2021/2/5 07:00,16.6,85,2.48,1,450,104,60,0.43,69.9,31.7,101.6,3.4,3.7,2.91,,
2021/2/5 08:00,18.1,83,2.34,0.7,455,111,69,0.3,18.8,30.7,49.5,12.3,4.8,2.64,,
2021/2/5 09:00,20.6,74,2.16,0.6,455,103,64,0.3,8.1,26,34.1,37.7,4,2.46,,
2021/2/5 10:00,22.9,61,2.08,0.54,436,92,51,0.22,4.6,22.8,27.5,57.8,3.8,2.3,,
2021/2/5 11:00,24.1,56,1.99,0.46,434,73,44,0.17,3.4,17.2,20.7,64.9,3.2,2.16,,
2021/2/5 12:00,24.7,56,1.96,0.5,422,66,39,0.09,2.2,13.9,16.1,74.5,3.8,2.05,,
2021/2/5 13:00,24.3,60,1.94,0.43,420,76,35,0.07,2,13.2,15.3,74.4,2.9,2.01,,
2021/2/5 14:00,24.2,61,1.93,0.39,422,71,36,0.09,2.2,13.9,16.1,72.4,2.3,2.02,,
2021/2/5 15:00,23.2,65,1.92,0.35,423,61,27,0.08,2.2,13.3,15.5,68.5,1.7,2,,
2021/2/5 16:00,22.2,70,1.92,0.36,424,65,33,0.06,2.1,13.6,15.7,68.1,1.5,1.98,,
