time,T(^oC),RH(%),WD,WS(m/s),CO(ppm),NO(ppb),NO2(ppb),O3(ppb),SO2(ppb),CH4(ppm),THC(ppm),NMHC(ppm)
2021/2/3 00:00,16.4,80.9,304,2.54,0.745,2.74,27.21,12.1,3.4,2.17,2.43,0.26
2021/2/3 00:01,16.4,80.9,308.4,2.37,0.76,3.68,24.89,12.8,3.4,2.18,2.44,0.26
2021/2/3 00:02,16.3,81,306.5,2.28,0.749,3.78,24.14,12.3,3.4,2.18,2.44,0.26
2021/2/3 00:03,16.3,81,290.4,2.38,0.752,3.21,24.99,13,3.4,2.18,2.44,0.26
2021/2/3 00:04,16.3,81,298.8,2.37,0.784,2.06,25.66,11.6,2.9,2.17,2.44,0.26
2021/2/3 00:05,16.3,81,292.3,2.5,0.787,1.4,25.85,11.9,2.3,2.17,2.43,0.27
2021/2/3 00:06,16.2,81.1,293.1,2.51,0.769,1.28,26.68,10.9,2.2,2.16,2.43,0.27
2021/2/3 00:07,16.2,81.1,299.8,2.96,0.761,1.94,26.55,11.3,3,2.16,2.44,0.28
2021/2/3 00:08,16.2,81.2,299,3.14,0.74,1.92,26.18,12.3,2.1,2.16,2.43,0.27
2021/2/3 00:09,16.2,81.2,310.7,3.23,0.742,1.65,25.41,13.4,2.4,2.15,2.42,0.27
2021/2/3 00:10,16.2,81.3,305.6,3.13,0.746,2.2,23.52,13.7,2,2.14,2.41,0.27
2021/2/3 00:11,16.2,81.4,304.3,2.67,0.718,1.15,23.67,13.7,2.6,2.15,2.4,0.26
2021/2/3 00:12,16.1,81.5,302.9,2.61,0.744,0.73,22.69,13.3,2.8,2.15,2.41,0.27
2021/2/3 00:13,16.2,81.5,311.5,2.57,0.75,2.21,22.1,13.9,2.2,2.14,2.41,0.27
2021/2/3 00:14,16.1,81.6,304.3,2.56,0.746,3.74,21.65,14.1,2.6,2.14,2.41,0.27
2021/2/3 00:15,16.2,81.8,317.6,2.06,0.774,4.53,21.63,14.1,2.5,2.14,2.41,0.27
2021/2/3 00:16,16.2,81.8,322.3,1.54,0.764,4.22,22.15,14.1,2.6,2.14,2.41,0.27
2021/2/3 00:17,16.2,81.8,302,1.69,0.768,3.9,22.05,14.2,2.4,2.14,2.4,0.26
2021/2/3 00:18,16.3,81.9,354.1,1.72,0.767,2.65,21.91,14.5,2.9,2.14,2.4,0.27
2021/2/3 00:19,16.3,82,310.6,1.42,0.737,2.97,20.44,15.1,2.3,2.13,2.38,0.25
2021/2/3 00:20,16.3,81.9,326.7,1.12,0.755,2.61,21.81,14.9,1.9,2.14,2.39,0.26
2021/2/3 00:21,16.2,81.9,314.5,1.38,0.757,2.64,21.72,14.7,3,2.14,2.4,0.26
2021/2/3 00:22,16.2,81.8,304.1,1.69,0.746,3.34,21.41,14.7,2.4,2.14,2.41,0.27
2021/2/3 00:23,16.2,81.9,305,1.78,0.742,3.33,22.1,13.5,2,2.15,2.43,0.28
2021/2/3 00:24,16.2,81.9,300.7,2.11,0.755,4.94,22.32,13.5,2.8,2.15,2.43,0.28
2021/2/3 00:25,16.2,81.9,303.7,1.92,0.77,5.65,23.23,12.9,2.9,2.16,2.45,0.29
2021/2/3 00:26,16.2,82,307.4,1.56,0.752,5.04,24.38,13.1,2.7,2.17,2.45,0.28
2021/2/3 00:27,16.2,82,296.7,1.48,0.763,4.42,24.1,11.6,2.5,2.18,2.46,0.28
2021/2/3 00:28,16.2,82,292.4,1.63,0.748,3.58,24.13,11.6,2.6,2.18,2.46,0.28
2021/2/3 00:29,16.1,81.9,293.8,1.66,0.763,2.65,24.92,11.3,1.8,2.18,2.46,0.28
2021/2/3 00:30,16.1,82,297.7,1.71,0.776,4.62,23.06,12,2.5,2.18,2.46,0.28
2021/2/3 00:31,16.1,82.1,299.4,1.52,0.758,3.99,23.65,12.1,2.3,2.18,2.46,0.28
2021/2/3 00:32,16.1,82.2,291.7,1.82,0.764,2.6,24.54,12.2,2.1,2.18,2.46,0.28
2021/2/3 00:33,16.1,82.2,304.2,1.86,0.775,2.73,24.42,11.5,2.3,2.18,2.47,0.29
2021/2/3 00:34,16.1,82.2,294.3,2.02,0.774,3.87,23.52,12.8,2.6,2.17,2.46,0.28
2021/2/3 00:35,16.1,82.2,296.4,2.07,0.78,5.32,22.6,13.2,2.1,2.16,2.44,0.28
2021/2/3 00:36,16.1,82.2,297.7,2.05,0.787,5.11,23.32,12.7,2.4,2.17,2.45,0.28
2021/2/3 00:37,16.1,82.2,292,1.87,0.784,4.82,23.96,11.9,3,2.18,2.46,0.27
2021/2/3 00:38,16,82.2,300.9,2.18,0.793,4.23,24.53,11.6,3.2,2.18,2.45,0.27
2021/2/3 00:39,16.1,82.3,313.3,2.42,0.789,2.41,26.04,11.2,2.1,2.18,2.46,0.27
2021/2/3 00:40,16,82.2,300.8,2.45,0.789,2.52,25.43,10.7,2.7,2.18,2.46,0.27
2021/2/3 00:41,16,82.2,300.8,2.03,0.781,3.08,25.07,11.1,2.9,2.18,2.45,0.26
2021/2/3 00:42,16,82.3,312.8,2.33,0.757,3.63,25.41,11.4,2.7,2.18,2.45,0.26
2021/2/3 00:43,16,82.4,303.4,1.96,0.779,3.4,24.01,11.9,2.2,2.18,2.43,0.25
2021/2/3 00:44,16,82.4,325.8,1.87,0.795,3.88,23.96,11.1,2.7,2.18,2.44,0.26
2021/2/3 00:45,16,82.5,303,1.86,0.775,4.37,25.43,10.9,2.5,2.18,2.44,0.25
2021/2/3 00:46,16,82.4,297.4,2.62,,,,10.6,,2.18,2.44,0.26
2021/2/3 00:47,15.9,82.3,302.9,2.03,,,,11.9,,2.16,2.41,0.25
2021/2/3 00:48,15.9,82.4,307,2.01,,,,11.7,,2.16,2.41,0.25
2021/2/3 00:49,15.9,82.5,316.5,1.99,,,,11.8,,2.16,2.41,0.25
2021/2/3 00:50,15.9,82.5,319.8,1.66,,,,11.9,,2.17,2.41,0.24
2021/2/3 00:51,16,82.6,341.2,1.64,,,,12.4,,2.17,2.41,0.24
2021/2/3 00:52,16,82.5,335.3,1.56,,,,11.9,,2.17,2.41,0.24
2021/2/3 00:53,16,82.5,309.2,1.61,,,,13.1,,2.17,2.4,0.23
2021/2/3 00:54,15.9,82.5,302.2,2.08,,,,12.1,,2.18,2.42,0.24
2021/2/3 00:55,15.9,82.4,298.2,2.45,,,,12.5,,2.18,2.41,0.23
2021/2/3 00:56,15.9,82.4,312.6,2.26,,,,12.7,,2.18,2.41,0.23
2021/2/3 00:57,15.9,82.5,301.6,2.27,,,,13.5,,2.18,2.41,0.23
2021/2/3 00:58,15.9,82.5,313.9,2.07,,,,13,,2.18,2.41,0.23
2021/2/3 00:59,15.9,82.5,316.5,2.27,,,,13.6,,2.18,2.41,0.22
2021/2/3 01:00,15.9,82.5,296.7,2.15,,,,13.5,,2.18,2.41,0.22
2021/2/3 01:01,15.8,82.5,303.1,2.01,,,,13.6,,2.19,2.42,0.23
2021/2/3 01:02,15.9,82.6,307.8,2.73,,,,12.8,,2.18,2.42,0.24
2021/2/3 01:03,15.9,82.5,291.4,2.74,,,,13.4,,2.19,2.42,0.23
2021/2/3 01:04,15.8,82.5,304,2.14,,,,13.2,,2.19,2.42,0.23
2021/2/3 01:05,15.8,82.5,306.2,1.81,,,,13.5,,2.19,2.43,0.24
2021/2/3 01:06,15.8,82.6,296.4,1.95,,,,13.4,,2.19,2.42,0.23
2021/2/3 01:07,15.8,82.6,323.1,2.03,,6.82,23.7,13.6,,2.19,2.43,0.24
2021/2/3 01:08,15.8,82.6,298.2,1.84,,7.28,23.34,13,,2.19,2.43,0.24
2021/2/3 01:09,15.8,82.5,311.2,2.12,,6.49,24.5,13.3,,2.19,2.43,0.23
2021/2/3 01:10,15.8,82.7,300.9,1.83,,5.32,25.05,13.1,,2.2,2.44,0.24
2021/2/3 01:11,15.8,82.6,293,1.82,,6.45,23.61,13,,2.2,2.44,0.24
2021/2/3 01:12,15.9,82.8,292.6,1.81,,6.87,23.14,13.4,,2.2,2.44,0.24
2021/2/3 01:13,15.9,82.7,316.6,1.62,0.894,5.6,24.26,13.5,2.6,2.2,2.44,0.24
2021/2/3 01:14,15.8,82.6,340.9,1.38,0.87,4.69,24.73,13.3,3.1,2.2,2.44,0.23
2021/2/3 01:15,15.9,82.6,345.4,2.18,0.857,2.62,25.39,13.9,3.1,2.2,2.44,0.23
2021/2/3 01:16,15.8,82.6,321.3,1.64,0.848,3.47,24.58,14.1,3,2.21,2.44,0.23
2021/2/3 01:17,15.8,82.6,331.2,1.42,0.87,3.86,24.16,14.1,3,2.21,2.44,0.23
2021/2/3 01:18,15.9,82.7,357.9,1.49,0.864,3.88,23.55,13.4,3.6,2.21,2.45,0.24
2021/2/3 01:19,15.8,82.5,355,2.38,0.881,3.97,22.85,13.1,3.6,2.21,2.45,0.24
2021/2/3 01:20,15.8,82.5,345,2.26,0.861,4.08,22.34,13.3,3.9,2.22,2.46,0.24
2021/2/3 01:21,15.7,82.5,346.8,2.35,0.8,4.94,22.02,13.4,3.6,2.23,2.48,0.25
