sample_#,kappa,kappa_NH42SO4,kappa_NH4HSO4,kappa_NH4NO3,kappa_NaNO3,kappa_NaCl,kappa_others
2013/1/15 09:00,0.22689791,0.133569423,0,0.082016123,0.011312364,0,0
2013/1/15 20:00,0.216341314,0.098217228,0,0.112395454,0,0.005728632,0
2013/1/16 08:00,0.225833117,0.141248687,0,0.076301713,0.008282717,0,0
2013/1/16 20:00,0.233607539,0.116354574,0,0.112716281,0,0.004536684,0
2013/1/17 08:00,0.223914576,0.134348539,0,0.080360534,0.009205504,0,0
2013/1/17 20:00,0.257745816,0.14641019,0,0.100722114,0,0.010613512,0
2013/1/18 08:00,0.226841346,0.116885015,0,0.102536905,0.00706024,0.000359187,0
2013/1/18 20:00,0.206911679,0.11234754,0,0.084192348,0.002600696,0.007771095,0
2013/1/19 08:00,0.207230723,0.12915689,0,0.07023576,0.007838073,0,0
2013/1/19 20:00,0.251297139,0.117851839,0,0.126772,0,0.0066733,0
2013/1/20 08:00,0.2004317,0.114259286,0,0.079167918,0.003527862,0.003476634,0
2013/1/20 20:00,0.198563795,0.080833296,0,0.111941045,0,0.005789454,0
2013/1/21 08:00,0.14317979,0.123577885,0,0.013039303,0.006562602,0,0
2013/1/21 20:00,0.219133491,0.080698248,0,0.1325585,0,0.005876743,0
2013/1/22 08:00,0.236028778,0.094418172,0,0.133774766,0,0.00783584,0
2013/1/22 20:00,0.212672132,0.121087947,0,0.074566338,0.016520096,0.00049775,0
2013/1/23 08:00,0.223702891,0.117820546,0,0.094555975,0.01132637,0,0
2013/1/23 20:00,0.180585845,0.095166537,0,0.078309378,0.00710993,0,0
2013/1/24 08:00,0.236408105,0.104527129,0,0.125564596,0.006316381,0,0
2013/1/24 20:00,0.21382137,0.109422072,0,0.099508871,0.004890427,0,0
2013/1/25 08:00,0.252597017,0.158590356,0,0.085891582,0.008115079,0,0
2013/1/25 20:00,0.220512672,0.137335174,0,0.073900073,0.009277425,0,0
2013/1/26 08:00,0.195438885,0.12617063,0,0.059164861,0.010103394,0,0
2013/1/26 20:00,0.211305775,0.092051839,0,0.111636843,0.007617092,0,0
2013/1/27 08:00,0.18842283,0.099625548,0,0.080957715,0.007839567,0,0
2013/1/27 20:00,0.206086792,0.135220574,0,0.063892846,0.006973371,0,0
2013/1/28 08:00,0.194710596,0.129156897,0,0.056589197,0.008964502,0,0
2013/1/28 20:00,0.193677126,0.087025812,0,0.097716367,0.008934947,0,0
